id,genres,rating,title,votes,year,cluster,distance
tt2073661,"[Drama, Thriller]",5,Dawn Patrol,652,2014,8.0,0.6725698113441467
tt2402085,"[Biography, Drama, Music]",6,Jimi: All Is by My Side,6274,2013,1.0,0.2729933261871338
tt2527338,"[Action, Adventure, Fantasy]",7,Star Wars: Episode IX - The Rise of Skywalker,354287,2019,2.0,0.3752748668193817
tt2554714,"[Horror, Thriller]",2,Haunting of the Innocent,393,2014,4.0,0.6024733781814575
tt8737614,"[Drama, Romance]",7,Majiji,2779,2019,6.0,0.4895946681499481
tt3477762,[Drama],6,Boundaries,199,2016,1.0,0.2960120141506195
tt3530978,"[Drama, Romance]",6,Correspondence,3900,2016,6.0,0.8770327568054199
tt3824648,"[Comedy, Drama]",7,Big Time Adolescence,5718,2019,1.0,0.8848095536231995
tt6518886,[Romance],6,Love Is a Broadway Hit,19,2017,6.0,1.1507186889648438
tt6520962,[Romance],8,Stan the Man,16,2020,6.0,1.1331361532211304
tt7661028,"[Crime, Horror, Thriller]",3,The Manson Family Massacre,259,2019,4.0,1.1777892112731934
tt7695522,"[Drama, Horror, Thriller]",6,Diya,435,2018,0.0,1.2005423307418823
tt7713068,"[Action, Adventure, Crime]",6,Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,149371,2020,2.0,1.0235484838485718
tt0455944,"[Action, Crime, Thriller]",7,The Equalizer,327903,2014,8.0,1.335002064704895
tt0773292,[Drama],8,Inner Circle Line,34,2006,1.0,0.32964229583740234
tt1328909,[Comedy],4,All American Orgy,930,2009,3.0,0.3574078679084778
tt1502397,"[Action, Comedy, Crime]",7,Bad Boys for Life,117743,2020,7.0,1.3270388841629028
tt1548599,[Drama],8,The Voice of the Voiceless,81,2013,1.0,0.33250197768211365
tt1620680,"[Adventure, Family, Fantasy]",4,A Wrinkle in Time,40277,2018,2.0,0.8517434597015381
tt8403168,[Documentary],8,Hesburgh,90,2018,5.0,0.21222800016403198
tt5460522,"[Biography, Drama]",5,JT LeRoy,1663,2018,1.0,0.2417805790901184
tt5494608,"[Crime, Thriller]",5,Signature Work,14,2016,8.0,1.0604536533355713
tt2784678,"[Comedy, Romance]",6,Top Five,25601,2014,3.0,0.8231609463691711
tt3468298,"[Adventure, Animation, Comedy]",5,Axel: The Biggest Little Hero,127,2013,3.0,0.9201444983482361
tt11024272,"[Comedy, Horror]",6,The Babysitter: Killer Queen,20861,2020,3.0,0.9859148263931274
tt0099704,"[Horror, Western]",5,Grim Prairie Tales,902,1990,4.0,0.520114541053772
tt0145484,[Comedy],6,Spaghetti a mezzanotte,442,1981,3.0,0.41590356826782227
tt0046919,[Drama],8,The Ditch,69,1954,1.0,0.6124151349067688
tt0061504,[Comedy],5,Common Law Cabin,617,1967,3.0,0.4872087836265564
tt0086499,"[Comedy, Family, History]",7,The Doctor's Pupil,60,1984,3.0,0.4413635730743408
tt9497120,[Horror],4,Semiconductor,20,2018,4.0,0.5431597232818604
tt1988781,[Horror],3,7 Below,3864,2012,4.0,0.4878841042518616
tt0332047,"[Comedy, Drama, Romance]",6,The Perfect Catch,42037,2005,6.0,0.6171403527259827
tt0075011,"[Animation, Family, Fantasy]",6,Once Upon a Time,136,1973,3.0,1.0302867889404297
tt0077440,"[Drama, Music]",6,Jukebox,40,1978,1.0,0.47888967394828796
tt2948372,"[Adventure, Animation, Comedy]",8,Soul,256,2020,3.0,0.9098489284515381
tt3004572,"[Action, Adventure, Sci-Fi]",2,2101,271,2014,2.0,0.6313114166259766
tt3256226,"[Adventure, Drama, Sci-Fi]",5,IO,30215,2019,1.0,0.9805440306663513
tt2234162,[Documentary],7,Habana Libre,10,2012,5.0,0.22169071435928345
tt2527336,"[Action, Adventure, Fantasy]",7,Star Wars: Episode VIII - The Last Jedi,551939,2017,2.0,0.3700801432132721
tt4866056,[Horror],7,Scarecrowd,39,2015,4.0,0.5023641586303711
tt4881806,"[Action, Adventure, Sci-Fi]",6,Jurassic World: Fallen Kingdom,259628,2018,2.0,0.34428536891937256
tt0923671,"[Horror, Thriller]",4,The Day of the Dead,55,2007,4.0,0.5923081040382385
tt1457767,"[Horror, Mystery, Thriller]",8,The Conjuring,433848,2013,0.0,0.6105476021766663
tt1478839,"[Comedy, Drama, Romance]",8,The Art of Racing in the Rain,22960,2019,6.0,0.7053205370903015
tt0047975,"[Adventure, Drama, History]",6,The Warriors,478,1955,1.0,1.112377405166626
tt0067576,[Comedy],6,The Sidelong Glances of a Pigeon Kicker,62,1970,3.0,0.5309658646583557
tt0109028,"[Comedy, Drama, Mystery]",7,Cold Fever,1707,1995,1.0,1.2868950366973877
tt1222816,"[Documentary, Family, News]",7,Disneynature: Wings of Life,492,2011,5.0,0.11190751940011978
tt12354874,[Animation],6,Ginger's Tale,63,2020,3.0,1.0226314067840576
tt7983890,[Drama],6,Ms. Purple,457,2019,1.0,0.2999795973300934
tt8041276,"[Comedy, Drama]",7,Paddleton,10502,2019,1.0,0.8875975608825684
tt2634414,"[Action, Adventure, Comedy]",4,Alligator Alley,707,2013,2.0,0.9406338930130005
tt2698966,[Thriller],6,The Debt,663,2015,8.0,0.47888344526290894
tt3057572,"[Drama, Music]",7,Of Mind and Music,365,2014,1.0,0.2550973892211914
tt3296908,"[Action, Biography, Thriller]",6,The Man with the Iron Heart,13559,2017,8.0,0.9427843689918518
tt4572700,[Horror],3,Mother Krampus 2: Slay Ride,161,2018,4.0,0.5252095460891724
tt3978720,"[Comedy, Drama]",7,4th Man Out,9423,2015,1.0,0.8812172412872314
tt0139151,"[Action, Comedy, Drama]",5,Inferno,8851,1999,1.0,1.2455108165740967
tt0222719,"[Comedy, Fantasy, Horror]",4,Andromina: The Pleasure Planet,279,1999,3.0,1.0242068767547607
tt7009250,[Thriller],5,Her Son's Secret,402,2018,8.0,0.5007016658782959
tt7616148,"[Drama, Mystery]",7,Luce,9186,2019,1.0,1.0015114545822144
tt10715194,[Comedy],5,Back to School,961,2019,3.0,0.3571920096874237
tt1937340,"[Drama, Romance]",6,Beyond Paradise,358,2018,6.0,0.519632875919342
tt0042895,"[Romance, Western]",7,Rio Grande,14158,1950,6.0,1.184090256690979
tt0075419,"[Horror, Music]",8,Alice Cooper: Welcome to My Nightmare (Concert Feature),418,1975,4.0,0.5922367572784424
tt6155456,[Drama],6,Juanita,2025,2019,1.0,0.2902395725250244
tt6316466,[Comedy],4,Adam,1398,2019,3.0,0.3503226637840271
tt6913168,"[Comedy, Crime]",5,Belleville Cop,1565,2018,3.0,1.2348127365112305
tt0455829,"[Action, Crime, Thriller]",8,Vettaiyaadu Vilaiyaadu,6533,2006,7.0,1.3576747179031372
tt8196692,"[Action, Thriller]",7,Soul Hunters,1285,2019,8.0,0.9804001450538635
tt8354582,"[Mystery, Thriller]",4,Deadly Switch,873,2019,8.0,1.0078585147857666
tt8487580,[Drama],6,Wandering Girl,193,2018,1.0,0.30715256929397583
tt2734498,"[Comedy, Drama, Romance]",6,Available: A Modern Day Fairy Tale,53,2013,6.0,0.7406912446022034
tt4643048,[Thriller],5,Fatal Pulse,132,2018,8.0,0.5007423758506775
tt5176580,"[Comedy, History]",6,Wild Nights with Emily,833,2018,3.0,0.3453066945075989
tt3526470,"[Crime, Drama, Thriller]",6,The Operative,449,2015,7.0,1.0176383256912231
tt0111526,[Documentary],8,The Righteous (1994),6,1994,5.0,0.3788784146308899
tt0212720,"[Drama, Sci-Fi]",7,A.I. Artificial Intelligence,287497,2001,1.0,0.3574892282485962
tt0275287,"[Comedy, Crime]",5,Virtual Weapon,382,1997,3.0,0.9972130656242371
tt7368158,"[Action, Adventure, Animation]",5,GoAnimate: The Movie,127,2006,2.0,0.4904842972755432
tt1391087,[Comedy],6,Perfect Sunday,45,2010,3.0,0.4198196530342102
tt1417299,"[Crime, Drama, Mystery]",8,Unnaipol Oruvan,5101,2009,7.0,1.101313591003418
tt1901024,"[Crime, Drama, Thriller]",5,Dark Crimes,13916,2016,7.0,0.9873517751693726
tt1954579,[Documentary],7,Reel Black Love,11,2011,5.0,0.2199442833662033
tt1160368,"[Action, Crime, Thriller]",6,12 Rounds,27021,2009,8.0,1.3094029426574707
tt1180311,"[Documentary, Drama]",7,The Flower of Kim Jong II,798,2009,5.0,0.9368531107902527
tt0063202,"[Action, Adventure, Comedy]",6,Las Vegas Free-for-All,9,1967,2.0,1.1208794116973877
tt6566768,[Drama],6,Native Son,1959,2019,1.0,0.29017096757888794
tt0469185,[Documentary],8,The Shark Is Still Working: The Impact & Legacy of 'Jaws',641,2007,5.0,0.21425895392894745
tt2740874,"[Biography, Documentary, Drama]",7,Two: The Story of Roman & Nyro,39,2013,5.0,0.9524726867675781
tt2808964,"[Family, Romance]",8,Blue Boy,22,2011,6.0,1.1216758489608765
tt2367954,"[Horror, Thriller]",5,Strip Mahjong: Battle Royale,186,2011,4.0,0.5572598576545715
tt4890766,[Horror],2,Play with Me,9,2016,4.0,0.5889654755592346
tt5037840,[Comedy],4,Drunk Parents,5883,2019,3.0,0.35023587942123413
tt8970448,[Drama],6,Adopt a Highway,2668,2019,1.0,0.2902338206768036
tt9165332,[Drama],7,Chitralahari,1597,2019,1.0,0.3656248450279236
tt4154756,"[Action, Adventure, Sci-Fi]",8,Avengers: Infinity War,807376,2018,2.0,0.4313914477825165
tt0119338,"[Crime, Drama, Romance]",6,Hurricane Streets,1142,1997,6.0,1.0666593313217163
tt0156788,[Drama],5,Secret Sins,86,1995,1.0,0.4304885268211365
tt0204388,"[Comedy, Horror]",4,Hookers in a Haunted House,63,1999,3.0,1.0096967220306396
tt0283426,"[Adventure, Animation, Family]",5,The Jungle Book 2,14827,2003,2.0,0.8277362585067749
tt7284202,"[Horror, Thriller]",5,Trespassers,1687,2018,4.0,0.6071674823760986
tt7297962,[Drama],6,The Poet and the Boy,104,2017,1.0,0.2939947843551636
tt9605894,"[Horror, Mystery, Thriller]",4,Nishabdham,1840,2020,0.0,0.5322919487953186
tt2350892,"[Action, Crime, Drama]",6,Bad Country,7955,2014,7.0,0.6724120378494263
tt2366608,"[Drama, Fantasy, Mystery]",6,Lost River,16931,2014,1.0,1.0775092840194702
tt1951181,"[Drama, Romance]",7,The Immigrant,29401,2013,6.0,0.47125643491744995
tt4353250,[Drama],7,The Last Black Man in San Francisco,13416,2019,1.0,0.3660031855106354
tt1205428,"[Drama, Romance]",5,And They're Off,23,1982,6.0,0.6255525350570679
tt6156498,"[Comedy, Sport]",6,Los Domirriqueños 2,35,2019,3.0,0.4377712905406952
tt6469960,[Drama],3,An Imperfect Murder,243,2017,1.0,0.4198310077190399
tt7297958,[Drama],6,A Fish Out of Water,60,2017,1.0,0.3922612965106964
tt1590193,"[Action, Mystery, Thriller]",6,The Commuter,100972,2018,8.0,1.2870820760726929
tt5882982,"[Drama, Mystery, Thriller]",7,Memoirs of a Murderer,1631,2017,8.0,1.2315611839294434
tt5968394,"[Action, Horror, Sci-Fi]",6,Captive State,46616,2019,4.0,1.0604660511016846
tt6069162,"[Drama, Music, Romance]",4,Here and Now,1195,2018,6.0,0.6093611121177673
tt3228450,[Horror],5,The Curse of All Hallows' Eve,10,2017,4.0,0.5236690640449524
tt4504044,"[Horror, Mystery, Thriller]",6,The Prodigy,22474,2019,0.0,0.5264133810997009
tt4642192,"[Biography, Drama, Romance]",7,The Keeper,3096,2018,6.0,0.4811708927154541
tt0332379,"[Comedy, Music]",7,School of Rock,264342,2003,3.0,0.4581296145915985
tt0172495,"[Action, Adventure, Drama]",8,Gladiator,1317472,2000,2.0,1.0237834453582764
tt0027904,"[Action, Crime, Drama]",6,Scotland Yard Commands,44,1936,7.0,1.0136852264404297
tt0062767,"[Comedy, Romance]",7,"Buona Sera, Mrs. Campbell",1397,1968,3.0,0.92341548204422
tt2353965,"[Sci-Fi, Thriller]",6,Frequency,17,2012,8.0,0.5284284949302673
tt2525156,"[Horror, Thriller]",3,Transylvanian Curse,412,2015,4.0,0.5836803317070007
tt8769848,"[Drama, Romance]",6,The Tomorrow Man,1274,2019,6.0,0.45696550607681274
tt1821426,"[Comedy, Drama]",6,Family Weekend,6596,2013,1.0,0.8512841463088989
tt3624446,"[Comedy, Horror]",5,Spanish Chainsaw Massacre,52,2017,3.0,1.004077434539795
tt1349485,"[Comedy, Drama]",7,The Knife of Don Juan,35,2013,1.0,0.8816101551055908
tt1431045,"[Action, Adventure, Comedy]",8,Deadpool,887702,2016,2.0,0.9191887974739075
tt1541123,"[Drama, Sci-Fi]",5,Astronaut: The Last Push,1554,2012,1.0,0.230831578373909
tt7930006,[Mystery],5,House of Deadly Secrets,499,2018,1.0,1.386963129043579
tt8637428,"[Comedy, Drama]",8,The Farewell,46591,2019,1.0,0.9265143871307373
tt1258221,"[Drama, Romance, Thriller]",7,Interrogation of a Husband,22,2010,6.0,1.2111345529556274
tt3401392,"[Crime, Thriller]",6,The Devotion of Suspect X,737,2017,8.0,1.0266518592834473
tt4577624,"[Comedy, Drama, Romance]",8,Someone I Used to Know,21,2016,6.0,0.7112268805503845
tt0306188,"[Comedy, Romance]",8,Chances Are,37,2001,3.0,0.8148717880249023
tt0120631,"[Comedy, Drama, Romance]",7,Ever After: A Cinderella Story,68561,1998,6.0,0.6401428580284119
tt0179344,"[Drama, Thriller]",3,Tell Me No Lies,175,2001,8.0,0.7308422327041626
tt0028346,"[Crime, Drama]",4,Reefer Madness,7784,1936,7.0,0.8593037128448486
tt0067525,"[Action, Drama, Sci-Fi]",6,The Ωmega Man,28556,1971,1.0,1.0213671922683716
tt1876277,"[Action, Biography, Drama]",7,Into the White,19436,2012,1.0,0.9845029711723328
tt8972256,"[Comedy, Drama]",6,Greed,3818,2019,1.0,0.856269359588623
tt0071402,"[Action, Crime, Drama]",7,Death Wish,35037,1974,7.0,0.7548272013664246
tt0080319,[Comedy],7,9 to 5,27048,1980,3.0,0.5153105854988098
tt0107688,"[Animation, Family, Fantasy]",8,The Nightmare Before Christmas,288750,1993,3.0,1.0769137144088745
tt0991174,"[Comedy, Drama, Romance]",6,Ingenious,1849,2009,6.0,1.032880187034607
tt12443930,[Drama],7,"The Things We Say, the Things We Do",238,2020,1.0,0.2731941342353821
tt6974888,[Drama],4,Driven to Dance,242,2018,1.0,0.3803444504737854
tt7225608,[Drama],4,The Last Nazi,33,2019,1.0,0.4528403878211975
tt1335992,"[Action, Drama]",4,Jackers,462,2010,1.0,0.9890580177307129
tt1386697,"[Action, Adventure, Fantasy]",6,Suicide Squad,590833,2016,2.0,0.3391411304473877
tt5329934,[Documentary],8,Forgotten in California,18,2016,5.0,0.8134807348251343
tt5562066,"[Comedy, Romance]",5,When Larry Meets Mary,93,2016,3.0,0.8514835238456726
tt5657846,[Comedy],6,Daddy's Home 2,60000,2017,3.0,0.4037265181541443
tt0297769,"[Action, Drama]",4,The Bounty Huntress,66,2001,1.0,1.0216612815856934
tt9806370,"[Action, Horror, Thriller]",5,The Owners,2889,2020,4.0,1.0643929243087769
tt3518012,"[Biography, Documentary, History]",8,Best of Enemies: Buckley vs. Vidal,5825,2015,5.0,0.483615517616272
tt0192069,[Documentary],6,Gendernauts: A Journey Through Shifting Identities,141,1999,5.0,0.15460290014743805
tt0445601,[Documentary],9,Of Ashes and Atoms: The Story of the NASA Plum Brook Reactor Facility,10,2004,5.0,0.15930134057998657
tt12586452,"[Comedy, Family, Fantasy]",8,Merman Academy: The Movie,6,2020,3.0,0.5171636343002319
tt3405236,"[Action, Crime, Drama]",7,Raees,39580,2017,7.0,0.7006198167800903
tt4824256,"[Drama, Sport]",5,Blackbear,655,2019,1.0,0.2694259583950043
tt5061570,"[Drama, Thriller]",5,Hostile Border,532,2015,8.0,0.6723971366882324
tt5079452,"[Action, Crime, Drama]",5,Strangers at the Door,65,2017,7.0,0.7939472794532776
tt2103267,"[Drama, Romance]",6,Adore,31856,2013,6.0,0.43854397535324097
tt8772262,"[Drama, Horror, Mystery]",7,Midsommar,184083,2019,0.0,0.998724102973938
tt1974419,"[Horror, Thriller]",6,The Neon Demon,82358,2016,4.0,0.6502694487571716
tt1987547,[Drama],6,Deceptz,11,2011,1.0,0.38415199518203735
tt3619972,"[Horror, Mystery, Thriller]",2,Pull,104,2019,0.0,0.6947811245918274
tt3861390,"[Adventure, Family, Fantasy]",6,Dumbo,63699,2019,2.0,0.8311874866485596
tt10003008,"[Horror, Thriller]",6,The Rental,11991,2020,4.0,0.6554451584815979
tt12036096,"[Drama, Thriller]",6,A Deadly Lullaby,143,2020,8.0,0.6805374026298523
tt7279188,"[Adventure, Comedy, Drama]",7,Woman at War,7513,2018,1.0,1.2973073720932007
tt0466460,"[Comedy, Crime, Drama]",8,Khosla's Nest,22008,2006,7.0,1.0111145973205566
tt1638277,"[Drama, Fantasy, Sci-Fi]",6,Mars et Avril,758,2012,1.0,0.5155618786811829
tt1274418,"[Action, Crime, Drama]",4,Fist of the Warrior,374,2007,7.0,0.7553598880767822
tt2652118,"[Action, Adventure, Drama]",6,"Crouching Tiger, Hidden Dragon: Sword of Destiny",17487,2016,2.0,0.9928234815597534
tt3469284,"[Action, Adventure, Comedy]",2,Jurassic Prey,645,2015,2.0,1.008315920829773
tt0265625,"[Comedy, Drama]",5,Roads to Riches,466,2002,1.0,0.8691664338111877
tt0103805,"[Crime, Drama, Thriller]",7,Beyond the Law,6140,1993,7.0,1.0105652809143066
tt0249555,[Documentary],6,Buster Keaton: The Great Stone Face,39,1968,5.0,0.44883233308792114
tt0018455,"[Drama, Romance]",8,Sunrise,46354,1927,6.0,0.8671408891677856
tt0020697,"[Drama, Music]",8,The Blue Angel,13424,1930,1.0,0.868006706237793
tt0026725,"[Drama, History, Romance]",8,Les Misérables,3289,1935,6.0,0.8934686183929443
tt0044907,"[Adventure, Drama, History]",7,Les Miserables,956,1952,1.0,1.1118627786636353
tt0054215,"[Horror, Mystery, Thriller]",8,Psycho,592689,1960,0.0,0.7933261394500732
tt0089984,"[Action, Adventure, Animation]",7,He-Man and She-Ra: The Secret of the Sword,2377,1985,2.0,0.41677457094192505
tt0094721,"[Comedy, Fantasy]",8,Beetlejuice,256527,1988,3.0,0.930716335773468
tt2510700,"[Horror, Thriller]",7,Palace of the Damned,63,2013,4.0,0.5653164386749268
tt0083146,"[Horror, Thriller]",5,Sweet Sixteen,1443,1983,4.0,0.6437897086143494
tt0084458,"[Adventure, Animation, Comedy]",7,The Wizard of Oz,347,1982,3.0,0.9261399507522583
tt7007696,"[Drama, Mystery]",6,Share,1568,2019,1.0,0.9763718247413635
tt7108976,"[Comedy, Crime]",6,Detective K: Secret of the Living Dead,354,2018,3.0,0.9939240217208862
tt8234892,"[Drama, Mystery, Thriller]",5,Knives and Skin,682,2019,8.0,1.1763557195663452
tt5446858,[Documentary],8,Zero Days,8709,2016,5.0,0.4846000075340271
tt5913798,"[Drama, Horror, Mystery]",4,Wounds,15064,2019,0.0,0.9817261099815369
tt0376127,"[Action, Drama, Thriller]",8,Anniyan,13943,2005,8.0,1.1332834959030151
tt0120523,"[Comedy, Romance]",5,Wishful Thinking,1245,1997,3.0,0.7992515563964844
tt6330246,"[Comedy, Drama, Family]",7,School of Life,1169,2017,1.0,0.8825078010559082
tt6673612,"[Adventure, Comedy, Family]",6,Dolittle,41199,2020,3.0,0.9342796802520752
tt6954136,"[Romance, Thriller]",4,Intuitions,206,2019,8.0,1.3455777168273926
tt0800325,"[Biography, Comedy, Drama]",7,The Dirt,38070,2019,1.0,0.8847343921661377
tt0837563,"[Horror, Mystery, Thriller]",6,Pet Sematary,78538,2019,0.0,0.5269321799278259
tt2657152,"[Horror, Sci-Fi, Thriller]",6,Infestation: Day One,118,2013,4.0,0.9502132534980774
tt2822672,"[Adventure, Animation, Comedy]",6,Rock Dog,4502,2016,3.0,0.9291155934333801
tt4807408,"[Biography, Drama, History]",7,The Best of Enemies,8718,2019,1.0,0.3643091917037964
tt4913966,"[Horror, Mystery, Thriller]",5,The Curse of la Llorona,36057,2019,0.0,0.5161961913108826
tt4935462,"[Documentary, Music]",8,Amazing Grace,3417,2018,5.0,0.488212525844574
tt5078354,"[Biography, Drama]",6,Cezanne et Moi,1059,2016,1.0,0.2808661460876465
tt1954320,[Drama],7,Carl[a],31,2011,1.0,0.3567027449607849
tt2273648,"[Action, Fantasy, Horror]",5,Adrenochrome,399,2017,4.0,1.0079882144927979
tt2275629,[Drama],6,Cliffs of Freedom,341,2019,1.0,0.3046479821205139
tt2292196,[Thriller],5,Refuge,480,2013,8.0,0.49906882643699646
tt2298274,"[Drama, Sci-Fi]",2,New World OrdeRx,239,2013,1.0,0.4624917805194855
tt0103824,[Documentary],7,Black to the Promised Land,20,1992,5.0,0.26137760281562805
tt0860461,[Musical],5,A Melody Looking,28,2006,3.0,1.021885633468628
tt7390646,"[Action, Crime, Thriller]",6,Black and Blue,14733,2019,8.0,1.3096555471420288
tt1399103,"[Action, Adventure, Sci-Fi]",6,Transformers: Dark of the Moon,381358,2011,2.0,0.3365667760372162
tt1648062,"[Action, Comedy, Drama]",2,Cowboys Vs. Vampires,342,2010,1.0,1.3063424825668335
tt8193790,"[Comedy, Horror]",7,Deerskin,5151,2019,3.0,1.015175223350525
tt8650976,[Drama],5,Guest Artist,183,2019,1.0,0.3365926444530487
tt5390246,"[Action, Crime, Drama]",4,Heartbeat,455,2017,7.0,0.7632590532302856
tt1042916,"[Action, Adventure, Animation]",6,Totally Spies! The Movie,430,2009,2.0,0.45025911927223206
tt3717252,"[Action, Adventure, Fantasy]",6,Underworld: Blood Wars,68665,2016,2.0,1.0269880294799805
tt4229236,"[Animation, Biography, Documentary]",8,Cobain: Montage of Heck,27671,2015,5.0,0.48311588168144226
tt0116306,[Thriller],6,Sweet Evil,271,1996,8.0,0.5130869746208191
tt0174503,[Comedy],2,Bikini Med School,113,1994,3.0,0.48968610167503357
tt6294226,"[Action, Crime, Fantasy]",5,Stray,668,2019,7.0,1.0548282861709595
tt6387506,"[Drama, Music, Romance]",6,The Violin Player,276,2018,6.0,0.6465064883232117
tt4972582,"[Horror, Thriller]",7,Split,411982,2016,4.0,0.7154291868209839
tt1180577,"[Biography, Documentary, War]",7,A Hero in Heaven,18,2007,5.0,0.21818606555461884
tt1867093,"[Action, Crime, Drama]",6,The Samaritan,9426,2012,7.0,0.6704519391059875
tt1967651,"[Drama, Thriller]",6,Unconditional Love,698,2012,8.0,0.6767497062683105
tt2404465,"[Comedy, Drama, Family]",7,Troop Zero,8538,2019,1.0,0.8845174312591553
tt9086228,"[Fantasy, Horror, Mystery]",5,Gretel & Hansel,19810,2020,0.0,0.7442854046821594
tt9155002,[Horror],3,Zombie 108,17,2012,4.0,0.5458949208259583
tt0024787,"[Crime, Drama, Mystery]",5,The World Gone Mad,445,1933,7.0,1.2979234457015991
tt0065421,"[Adventure, Animation, Comedy]",7,The Aristocats,91905,1970,3.0,1.0104786157608032
tt0065555,"[Action, Crime, Thriller]",6,Violent City,2205,1970,7.0,1.3658043146133423
tt0077176,"[Crime, Drama]",6,The Gun,81,1978,7.0,0.7066104412078857
tt0103873,"[Action, Comedy, Fantasy]",8,Dead Alive,90507,1992,3.0,1.1160168647766113
tt0844708,"[Horror, Thriller]",6,The Last House on the Left,84706,2009,4.0,0.6465610861778259
tt10192308,"[Crime, Mystery, Sci-Fi]",5,Desire Game,10,2019,7.0,1.4350626468658447
tt8255490,[Comedy],5,Christmas Survival,513,2018,3.0,0.3539038896560669
tt5463162,"[Action, Adventure, Comedy]",8,Deadpool 2,465793,2018,2.0,0.9208711385726929
tt5886046,"[Action, Adventure, Horror]",6,Escape Room,79997,2019,2.0,1.058586597442627
tt0359836,[Adventure],6,Pilgrim's Progress,232,1978,2.0,0.9240269660949707
tt0376717,"[Comedy, Crime]",3,Gold Diggers,2357,2003,3.0,0.9854493141174316
tt9356952,"[Comedy, Crime, Drama]",6,The Death of Dick Long,3623,2019,7.0,0.9726954698562622
tt4169146,"[Comedy, Drama]",7,Give Me Liberty,1481,2019,1.0,0.884826123714447
tt4329810,[Documentary],7,QT8: The First Eight,2419,2019,5.0,0.38279926776885986
tt0242146,[Documentary],7,Wolfman Chronicles: A Cinematic Scrapbook,13,1991,5.0,0.26667556166648865
tt6854966,[Animation],6,Little Heroes,11,2017,3.0,1.0189207792282104
tt0475390,"[Comedy, Drama, Music]",6,The Wedding Weekend,618,2006,1.0,0.8349406719207764
tt1289401,"[Action, Comedy, Fantasy]",6,Ghostbusters,201241,2016,3.0,1.0463738441467285
tt2609758,"[Comedy, Drama, Romance]",5,Tyler Perry's A Madea Christmas,5753,2013,6.0,0.6236584782600403
tt4765284,"[Comedy, Music]",6,Pitch Perfect 3,54681,2017,3.0,0.40344828367233276
tt0246592,"[Comedy, Drama, Romance]",7,The Dummy,6407,2002,6.0,0.6398898959159851
tt1745718,[Documentary],9,Holbrook/Twain: An American Odyssey,24,2014,5.0,0.16740180552005768
tt1883236,[Drama],6,Heartlines,19,2012,1.0,0.3894323706626892
tt2170369,"[Action, Adventure, Comedy]",5,Dudes & Dragons,933,2015,2.0,0.9162804484367371
tt10783168,[Romance],6,The Baby Proposal,36,2019,6.0,1.1535037755966187
tt5013056,"[Action, Drama, History]",8,Dunkirk,539139,2017,1.0,1.024794101715088
tt3526286,"[Crime, Drama, Horror]",3,#Horror,3376,2015,7.0,1.1442614793777466
tt3891218,"[Biography, Documentary, History]",7,Colliding Dreams,94,2015,5.0,0.7867283225059509
